#Data tag : v1 , Norm tag: None
run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
305365:6314,10/21/17 06:21:13,825,825,261607858.920,249011027.808
305366:6314,10/21/17 11:46:55,1240,1240,241259068.766,234036531.156
305376:6315,10/22/17 00:11:10,98,98,34134517.820,32591501.765
305377:6315,10/22/17 01:10:11,1514,1514,417638018.139,399198774.969
305405:6317,10/22/17 18:15:50,496,494,169644789.073,159168444.446
305406:6317,10/22/17 21:45:01,1458,1458,329375346.681,317190205.838
305440:6318,10/23/17 10:50:34,272,266,94237501.840,83032558.219
305441:6318,10/23/17 12:36:14,121,121,38023779.179,36553369.764
305516:6323,10/23/17 23:42:59,555,552,187021789.953,170496550.495
305517:6323,10/24/17 03:42:15,163,163,49730971.686,33958410.371
305518:6323,10/24/17 04:49:00,1134,1134,244009352.238,234914929.405
305586:6324,10/24/17 17:46:57,531,531,180538492.268,170692640.106
305589:6324,10/24/17 22:47:21,691,691,170780615.939,163352271.609
305590:6324,10/25/17 03:17:27,1004,1004,157260180.326,153195522.957
305636:6325,10/25/17 13:27:51,2326,2326,550037491.562,526497245.312
305766:6337,10/27/17 04:37:33,848,847,276741249.712,263624728.390
305809:6341,10/27/17 23:20:39,142,142,48771075.418,45867781.718
305814:6343,10/28/17 06:17:09,1823,1823,469765140.983,447547551.141
305821:6344,10/28/17 20:29:23,772,772,254702799.448,240083951.454
305832:6346,10/29/17 11:22:51,180,180,62604556.531,57877729.032
305840:6346,10/29/17 15:39:02,1144,1141,263620697.833,252272328.717
305842:6346,10/29/17 23:07:27,862,862,118945539.409,115950148.878
305862:6347,10/30/17 11:28:43,625,625,212244106.640,201772116.415
305898:6348,10/30/17 20:22:12,711,711,240634279.031,230261384.518
305902:6349,10/31/17 04:27:06,469,469,161180925.296,153845664.162
305967:6351,10/31/17 16:08:27,32,32,11072746.099,10514038.787
306029:6355,11/01/17 18:28:41,34,32,11818381.409,9124799.127
306030:6355,11/01/17 18:41:57,110,110,38199724.144,34817162.961
306036:6356,11/01/17 22:43:48,4,4,1391146.591,52803.678
306037:6356,11/01/17 22:46:27,49,44,17054951.467,12151272.377
306038:6356,11/01/17 23:06:47,139,138,48341436.976,43986946.877
306041:6356,11/02/17 00:07:18,320,320,107197828.165,99671680.747
306042:6356,11/02/17 02:14:23,371,365,107531441.176,100134274.250
306048:6356,11/02/17 04:39:07,140,136,35502873.799,32080060.353
306049:6356,11/02/17 05:33:34,358,358,79150645.506,75552896.846
306051:6356,11/02/17 08:00:13,415,415,73133196.382,71118972.677
306091:6358,11/02/17 16:17:27,585,575,219096413.300,204646671.409
306092:6358,11/02/17 20:04:27,972,972,235522252.313,220566156.159
306095:6358,11/03/17 02:42:56,300,300,50761710.937,49437659.472
306121:6360,11/03/17 13:15:57,96,91,33365501.297,28549505.521
306122:6360,11/03/17 13:53:18,127,127,44182252.199,40472335.692
306125:6360,11/03/17 14:46:12,2970,2964,583432145.754,562534242.394
306126:6360,11/04/17 10:14:24,497,497,32056566.707,31412515.403
306134:6362,11/04/17 17:39:47,32,24,11137777.914,6979044.492
306135:6362,11/04/17 17:52:02,1068,1068,339324708.030,320341285.581
306138:6362,11/05/17 01:32:22,1298,1298,219359533.332,212678947.984
306139:6362,11/05/17 10:17:58,1112,1112,104594904.814,102618812.620
306153:6364,11/06/17 02:35:57,88,83,30583773.537,26342840.121
306154:6364,11/06/17 03:10:20,1215,1213,362304735.906,334421405.686
306155:6364,11/06/17 11:12:06,1440,1440,227023398.299,221027971.289
306169:6364,11/06/17 21:43:35,745,735,69859127.557,67015519.664
306170:6364,11/07/17 02:33:05,22,15,1797020.411,1148805.422
306171:6364,11/07/17 02:41:36,503,503,36816214.102,36193995.220
306418:6370,11/09/17 02:11:32,74,66,25659377.813,20702565.081
306419:6370,11/09/17 02:41:06,62,58,21445736.256,18345829.662
306420:6370,11/09/17 03:06:38,108,108,37138460.270,34098676.780
306422:6370,11/09/17 04:30:38,118,115,37628283.661,34603436.276
306423:6370,11/09/17 05:16:29,333,323,93321735.676,85775173.394
306432:6370,11/09/17 08:44:07,339,339,34774832.669,33790252.297
306454:6371,11/09/17 14:18:50,89,85,30786982.590,26780734.670
306455:6371,11/09/17 14:53:14,11,6,3839472.844,1595969.847
306456:6371,11/09/17 14:58:09,786,783,248073226.550,236590832.747
306457:6371,11/09/17 20:03:48,31,28,7997523.019,6712545.217
306458:6371,11/09/17 20:15:40,225,221,54509367.289,51560804.933
306459:6371,11/09/17 22:00:11,2273,2272,317312096.305,309932037.084
306460:6371,11/10/17 12:48:14,73,64,4324308.966,4048496.982
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/ub),totrecorded(/ub)
#175,471,206631,205522,44623924659.310,41957532957.257
#Check JSON:
#(run,ls) in json but not in results: [(305178, 75), (306459, 2273)]
