#Data tag : v1 , Norm tag: None
run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
299477:5976,07/20/17 12:44:21,10,10,3355600.532,2082499.475
299478:5976,07/20/17 13:06:44,175,172,52720737.017,46532245.376
299479:5976,07/20/17 14:18:01,123,117,36478582.834,30700115.345
299480:5976,07/20/17 15:07:52,715,711,184023920.211,169714844.503
299481:5976,07/20/17 19:55:18,1200,1200,204920537.193,193095273.315
299593:5979,07/21/17 18:23:45,801,797,203155262.864,187400800.628
299594:5979,07/21/17 23:38:54,317,309,67816950.147,62036898.395
299595:5979,07/22/17 01:48:02,135,135,26454035.908,25536689.153
299597:5979,07/22/17 02:46:03,537,537,90934298.260,87023903.105
299649:5984,07/24/17 02:38:21,182,182,64244050.608,58245977.695
300087:6019,07/29/17 06:23:31,201,194,13990231.802,13203678.629
300105:6020,07/29/17 12:14:52,21,21,6081840.897,1264883.634
300106:6020,07/29/17 12:26:04,74,74,25268638.710,20137790.370
300107:6020,07/29/17 12:58:01,46,46,15331518.622,13777474.394
300117:6021,07/29/17 16:45:44,33,33,9774108.385,6317270.432
300122:6024,07/29/17 21:46:18,1244,1235,334373483.141,301188852.651
300123:6024,07/30/17 05:57:59,610,601,110793030.053,103262243.468
300155:6026,07/30/17 18:49:41,1195,1188,319474540.831,288018762.863
300156:6026,07/31/17 02:33:41,72,64,14700550.581,12014281.512
300157:6026,07/31/17 03:14:44,1099,1099,180408634.980,170366297.159
300226:6030,07/31/17 17:03:13,406,406,134711596.316,118756516.233
300233:6031,07/31/17 22:08:07,120,111,41779638.879,32399983.972
300234:6031,07/31/17 22:55:49,59,59,19831912.127,14933254.792
300235:6031,07/31/17 23:21:52,187,181,60169958.574,50549170.265
300236:6031,08/01/17 00:39:29,177,172,53504566.652,47244685.378
300237:6031,08/01/17 01:48:17,715,715,178028721.155,166062659.677
300238:6031,08/01/17 06:39:52,297,290,57287821.227,50734709.050
300239:6031,08/01/17 08:36:44,208,202,36174712.306,31504952.775
300240:6031,08/01/17 10:10:56,355,354,52327544.964,48113980.528
300280:6035,08/02/17 04:47:45,548,548,171609104.155,141233165.058
300281:6035,08/02/17 09:00:44,6,6,1639791.312,1510873.826
300282:6035,08/02/17 09:08:16,135,131,35980020.588,31082620.402
300283:6035,08/02/17 10:20:31,34,26,8596858.424,5861653.459
300284:6035,08/02/17 10:35:39,679,679,142549025.008,134354102.191
300364:6041,08/03/17 12:13:45,20,17,6688875.733,4061528.087
300365:6041,08/03/17 12:25:03,20,13,6514950.915,3644939.390
300366:6041,08/03/17 12:34:35,21,14,5559156.479,2975985.402
300367:6041,08/03/17 12:44:42,20,13,6316938.641,3021517.327
300368:6041,08/03/17 12:54:06,20,13,6218327.056,3066144.578
300369:6041,08/03/17 13:03:35,20,13,6127062.716,3315994.237
300370:6041,08/03/17 13:13:08,20,13,6052238.234,3263006.384
300371:6041,08/03/17 13:22:40,20,13,5955465.060,3041585.755
300372:6041,08/03/17 13:32:05,8,8,2427131.314,2014809.503
300373:6041,08/03/17 13:39:38,21,13,6294696.128,3193516.712
300374:6041,08/03/17 13:48:53,21,13,6221294.264,3210766.489
300375:6041,08/03/17 13:58:15,93,93,27051894.709,25170115.526
300389:6044,08/03/17 18:48:33,121,115,39733619.868,27327958.172
300390:6044,08/03/17 19:49:51,20,12,6600059.389,3399143.451
300391:6044,08/03/17 19:58:56,21,13,6844590.873,3341658.443
300392:6044,08/03/17 20:08:11,21,14,6740705.521,3447536.986
300393:6044,08/03/17 20:17:56,20,13,6331370.107,3507113.538
300394:6044,08/03/17 20:27:18,21,13,6560381.256,3364755.162
300395:6044,08/03/17 20:36:48,20,13,6240582.977,3411735.853
300396:6044,08/03/17 20:46:06,20,13,6299459.631,3292448.575
300397:6044,08/03/17 20:55:35,20,13,6220330.281,3526941.689
300398:6044,08/03/17 21:05:16,20,14,6141527.214,3623554.425
300399:6044,08/03/17 21:15:05,20,17,6061614.107,4284658.198
300400:6044,08/03/17 21:26:33,677,672,176439647.792,162809265.820
300401:6044,08/04/17 02:03:03,655,655,123786735.957,116894944.809
300459:6046,08/04/17 12:16:31,293,293,93606011.993,82550727.147
300461:6046,08/04/17 14:16:24,98,88,29330732.635,23965172.873
300462:6046,08/04/17 14:56:36,97,91,27718299.641,23547843.567
300463:6046,08/04/17 15:38:41,124,124,33411782.436,30979288.191
300464:6046,08/04/17 16:34:29,243,243,60730160.963,54422179.848
300466:6046,08/04/17 18:25:04,650,643,130930461.594,121620307.893
300467:6046,08/04/17 22:39:50,563,563,85153736.030,80267959.792
300497:6048,08/05/17 07:32:31,150,150,52674096.815,40365626.021
300514:6050,08/05/17 12:01:12,113,113,39157081.114,29557610.670
300515:6050,08/05/17 12:46:59,895,895,257071061.913,238009086.206
300516:6050,08/05/17 19:30:11,111,109,23648977.325,19408338.992
300517:6050,08/05/17 20:16:08,529,529,96217906.488,91078466.738
300558:6052,08/06/17 11:30:09,541,534,127656860.620,117294107.842
300560:6052,08/06/17 15:03:17,840,840,145734020.740,137087232.231
300574:6053,08/07/17 02:51:21,97,96,30156560.759,23867045.114
300575:6053,08/07/17 03:34:38,82,76,25583830.674,12364944.465
300576:6053,08/07/17 04:08:51,1199,1199,290648695.522,271952504.814
300631:6054,08/07/17 15:33:52,165,159,54614607.034,43254335.310
300632:6054,08/07/17 16:47:36,21,20,6764006.329,4107622.991
300633:6054,08/07/17 16:58:51,447,447,133442090.725,122455128.110
300635:6054,08/07/17 20:07:40,174,174,45951741.840,42419946.973
300636:6054,08/07/17 21:23:45,1570,1570,291573542.647,275055830.340
300674:6055,08/08/17 11:03:35,33,30,10939849.754,7937430.443
300675:6055,08/08/17 11:18:45,33,25,10995480.290,2920772.169
300676:6055,08/08/17 11:31:56,26,26,8502786.272,7391727.729
300742:6057,08/08/17 17:08:59,288,288,98042466.991,85026759.166
300777:6060,08/09/17 04:47:36,489,489,149087643.609,132160415.156
300780:6060,08/09/17 08:01:23,339,334,88743662.073,80251327.543
300785:6060,08/09/17 10:49:34,1252,1252,229496483.688,216567386.120
300806:6061,08/09/17 21:47:21,179,179,66524912.673,54764553.860
300811:6061,08/09/17 23:03:46,503,500,165718861.563,146529696.758
300812:6061,08/10/17 02:25:24,59,58,17129052.063,15011504.439
300816:6061,08/10/17 02:54:46,156,150,43243064.507,35244756.421
300817:6061,08/10/17 03:55:19,460,460,108890714.149,100991206.627
301046:6072,08/12/17 01:36:15,62,62,4539122.800,4282661.600
301142:6082,08/14/17 12:20:37,897,897,101087574.867,97766902.434
301161:6084,08/14/17 21:38:32,770,761,105754081.985,99580607.801
301165:6084,08/15/17 02:39:09,145,145,15951626.373,15711194.994
301179:6086,08/15/17 07:58:06,25,19,4466658.486,2079726.159
301180:6086,08/15/17 08:08:13,97,92,16993956.173,15074867.391
301183:6086,08/15/17 08:47:34,299,299,48792703.792,45954198.837
301281:6089,08/15/17 23:07:42,120,120,20355026.204,18862935.020
301283:6089,08/15/17 23:59:33,884,884,125867357.035,121755835.415
301298:6090,08/16/17 09:17:06,905,905,162248373.751,156258113.871
301323:6091,08/16/17 18:21:28,954,954,176314664.666,167581189.221
301330:6093,08/17/17 05:31:25,332,332,69525618.278,65477792.645
301359:6094,08/17/17 11:07:05,287,287,62044084.535,58223615.211
301384:6096,08/17/17 15:43:36,476,476,99694471.922,95748431.379
301391:6097,08/17/17 21:43:51,177,175,37737690.771,35114798.416
301392:6097,08/17/17 22:57:14,627,627,116009395.140,111762340.079
301393:6097,08/18/17 03:04:23,17,17,2749452.097,2638599.918
301396:6097,08/18/17 03:39:06,33,26,5174241.383,3781373.823
301397:6097,08/18/17 03:55:16,726,720,99148647.287,95223405.086
301398:6097,08/18/17 08:43:05,9,9,1072222.740,565060.540
301399:6097,08/18/17 08:50:12,108,108,12576927.978,12401697.016
301417:6098,08/18/17 12:47:02,318,318,71681543.451,68760821.114
301447:6104,08/19/17 11:30:21,422,422,76179872.985,72905187.520
301448:6104,08/19/17 14:20:04,329,325,50848898.339,48685578.324
301449:6104,08/19/17 16:30:03,404,398,53881479.094,49891080.014
301450:6104,08/19/17 19:07:02,173,173,20257174.372,19653516.501
301461:6105,08/19/17 23:00:39,554,554,106614748.415,99274435.450
301472:6106,08/20/17 14:12:08,796,796,145323888.190,140455502.716
301475:6106,08/20/17 19:47:02,18,12,2765075.315,1568274.274
301476:6106,08/20/17 19:53:54,844,844,111676013.498,108771443.160
301519:6110,08/21/17 13:13:29,209,203,38668083.711,33917296.375
301524:6110,08/21/17 14:45:22,257,257,43192979.751,41629733.940
301529:6110,08/21/17 17:22:10,49,49,7401439.036,6659763.116
301530:6110,08/21/17 17:44:34,104,104,15086887.771,14417695.590
301531:6110,08/21/17 18:34:34,394,393,50727682.470,48916991.496
